,0,1,2,3,4
47,33.7207,-116.21677,Indio,US,America/Los_Angeles
48,45.0408,-93.263,Columbia Heights,US,America/Chicago
49,41.6764,-91.58045,Coralville,US,America/Chicago
50,42.97086,-82.42491,Port Huron,US,America/Detroit
51,33.08014,-83.2321,Milledgeville,US,America/New_York
52,29.53885,-95.44744,Fresno,US,America/Chicago
53,43.54072,-116.56346,Nampa,US,America/Boise
54,37.60876,-77.37331,Mechanicsville,US,America/New_York
55,41.55815,-73.0515,Waterbury,US,America/New_York
56,35.88264,-80.08199,Thomasville,US,America/New_York
57,39.72943,-104.83192,Aurora,US,America/Denver
58,44.27804,-88.27205,Kaukauna,US,America/Chicago
59,29.84576,-90.10674,Estelle,US,America/Chicago
60,38.06084,-97.92977,Hutchinson,US,America/Chicago
61,42.30865,-83.48216,Canton,US,America/Detroit
62,33.93113,-117.54866,Norco,US,America/Los_Angeles
63,34.14251,-118.25508,Glendale,US,America/Los_Angeles
64,39.33427,-76.43941,Middle River,US,America/New_York
65,42.4251,-71.06616,Malden,US,America/New_York
66,32.42067,-104.22884,Carlsbad,US,America/Denver
67,41.47892,-87.45476,Schererville,US,America/Chicago
68,37.95143,-91.77127,Rolla,US,America/Chicago
69,39.57582,-105.11221,Ken Caryl,US,America/Denver
70,45.0408,-93.263,Columbia Heights,US,America/Chicago
71,36.91023,-121.75689,Watsonville,US,America/Los_Angeles
72,26.18924,-98.15529,San Juan,US,America/Chicago
73,46.32374,-120.00865,Sunnyside,US,America/Los_Angeles
74,39.57582,-105.11221,Ken Caryl,US,America/Denver
75,40.34912,-111.90466,Saratoga Springs,US,America/Denver
76,41.75338,-86.11084,Granger,US,America/Indiana/Indianapolis
77,43.61062,-72.97261,Rutland,US,America/New_York
78,29.84576,-90.10674,Estelle,US,America/Chicago
79,47.38093,-122.23484,Kent,US,America/Los_Angeles
80,40.72371,-73.95097,Greenpoint,US,America/New_York
81,42.30865,-83.48216,Canton,US,America/Detroit
82,44.99012,-123.02621,Keizer,US,America/Los_Angeles
83,41.55815,-73.0515,Waterbury,US,America/New_York
84,41.47892,-87.45476,Schererville,US,America/Chicago
85,31.12406,-97.90308,Copperas Cove,US,America/Chicago
86,29.53885,-95.44744,Fresno,US,America/Chicago
87,31.12406,-97.90308,Copperas Cove,US,America/Chicago
88,28.15112,-82.46148,Lutz,US,America/New_York
89,40.81,-73.9625,Morningside Heights,US,America/New_York
90,41.72059,-87.70172,Evergreen Park,US,America/Chicago
91,34.21639,-119.0376,Camarillo,US,America/Los_Angeles
92,33.54428,-84.23381,Stockbridge,US,America/New_York
93,36.61033,-88.31476,Murray,US,America/Chicago
94,34.25807,-88.70464,Tupelo,US,America/Chicago
95,39.43534,-84.20299,Lebanon,US,America/New_York
96,26.2173,-80.22588,North Lauderdale,US,America/New_York
97,38.06084,-97.92977,Hutchinson,US,America/Chicago
98,36.91023,-121.75689,Watsonville,US,America/Los_Angeles
99,40.68066,-73.47429,Massapequa,US,America/New_York
